匂,にお∙う fragrant
娥,みめよ∙い/ガ beautiful
秣,まぐさ/マツ fodder
祖,ソ ancestor
鷲,シュウ eagle
箔,すだれ/ハク foil
准,ジュン quasi-
緯,よこいと/イ horizontal
著,あらわす/チョ 
削,けず∙る/サク plane
脹,は∙れる/チョウ dilate
襃,ほ∙める/ホウ praise
竺,ジク bamboo
雀,すずめ/ジャク sparrow
邑,うれ∙える/ユウ village
秩,チツ regularity
緬,メン fine thread
駁,ぶち/ハク refutation
糧,かて/リョウ provisions
窃,ぬす∙む/セツ stealth
膠,にかわ/コウ glue
虞,おそれ/グ fear
怖,こわ∙い/フ dreadful
戯,たわむ∙れる/ギ frolic
戻,もど∙す/レイ re-
馳,は∙せる/チ run
浴,あ∙びる/ヨク bathe
芦,あし/ロ reed
蔭,かげ/イン shade
抗,あらが∙う/コウ confront
責,せ∙める/セキ blame
虜, capture
視,み∙る/シ inspection
摂,おさ∙める/セツ vicarious
福,フク blessing
蓑,みの/サ straw raincoat
髷,まげ/キョク topknot
梟,ふくろう/キョウ owl
構,かま∙える/コウ posture
愚,おろ∙か/グ foolish
錠,ジョウ lock
倒,たお∙れる/トウ overthrow
奄,おお∙う/エン cover
広,ひろ∙い/コウ wide
姫,ひめ/キ princess
棟,むね/トウ ridgepole
淋,さび∙しい/リン lonely
貸,か∙す/タイ lend
鬨,とき/コウ fight
複,フク duplicate
螺,にし/ラ small, edible, helical fresh-water mollusk
誌,シ document
院,イン Inst.
皿,さら/ベイ dish
算,そろ/サン calculate
癪,しゃく spasms
介,カイ jammed in
識,し∙る/シキ discriminating
皺,しわ/シュウ wrinkles
謖,た∙つ/ショク arise
頻,しき∙りに/ヒン repeatedly
馴,な∙れる/ジュン get used to
甁,かめ/ヘイ jug
猪,い/チョ boar
戰,いくさ/セン war
鴎,かもめ/オウ seagull
埠,つか/フ wharf
様,さま/ヨウ Esq.
記,しる∙す/キ scribe
穂,ほ/スイ ear
征,セイ subjugate
憾,うら∙む/カン remorse
齡,よわ∙い/レイ age
似,に∙る/ジ becoming
議,ギ deliberation
権,おもり/ケン authority
据,す∙える/キョ set
跋,おくがき/ハツ epilogue
柴,しば/サイ brush
嬢,むすめ/ジョウ lass
力,ちから/リョク power
隘,せま∙い/アイ narrow
稱,たた∙える/ショウ call
穰,わら/ジョウ abundance
僑,キョウ temporary home
尽,つ∙くす/ジン exhaust
除,のぞ∙く/ジョ exclude
捺,さ∙す/ナツ press
巣,す/ソウ nest
睨,にら∙む/ゲイ glaring at
誤,あやま∙る/ゴ mistake
譜,フ musical score
継,つ∙ぐ/ケイ inherit
倦,あき∙る/ケン lose interest in
舊,ふる∙い/キュウ old things
馬,うま/バ horse
厠,かわや/シ privy
飯,めし/ハン meal
收,おさ∙める/シュウ income
躰,からだ/タイ the body
拔,ぬ∙く/バツ extract
鯖,さば/セイ mackerel
著,あらわ∙す/チョ renowned
店,みせ/テン store
碓,たし∙か/カク pestle
堵,かき/ト fence
膿,う∙む/ノウ pus
教,おし∙える/キョウ teach
寢,ね∙る/シン sleep
緋,あけ/ヒ scarlet
勢,いきお∙い/セイ forces
朕,チン majestic plural
悠,ユウ permanence
牟,ボウ pupil (eye)
勧,すす∙める/カン persuade
捩,よじ∙る/レイ screw
揺,ゆ∙れる/ヨウ swing
蓮,はす/レン lotus
嬉,うれ∙しい/キ glad
敕,いまし∙める/チョク an imperial order or decree
納,おさ∙める/ノウ settlement
畠,はたけ field
訟,ショウ sue
厭,いや/エン get tired of
弧,コ arc
貼,は∙る/テン stick
薫,かお∙る/クン send forth fragrance
挨,ひら∙く/アイ approach
綺,あや/キ figured cloth
譲,ゆず∙る/ジョウ defer
赫,あかい/カク suddenly
菊,キク chrysanthemum
姐,あね/ソ elder sister
装,よそお∙う/ソウ attire
匠,たくみ/ショウ artisan
挟,はさ∙む/キョウ pinch
断,た∙つ/ダン severance
帽,ずきん/ボウ cap
營,いとな∙む/エイ camp
鋏,はさみ/キョウ scissors
肛,コウ anus
瑛,エイ sparkle of jewelry
曇,くも∙る/ドン cloudy weather
真,ま/シン true
緊,し∙める/キン tense
玲,レイ sound of jewels
干,ほ∙す/カン dry
鍬,くわ/ショウ hoe with long blade at acute angle
以,もっ∙て/イ by means of
醸,かも∙す/ジョウ brew
紙,かみ/シ paper
栓,セン plug
股,また/コ thigh
馮,たの∙む/ヒョウ displeasure
檀,まゆみ/ダン cedar
条,えだ/ジョウ article
悩,なや∙む/ノウ trouble
崚,リョウ mountains towering in a row
奉,たてまつ∙る/ホウ observance
咄,はなし/トツ pshaw
庫,くら/コ warehouse
伊,かれ/イ Italy
戍,まもり/ジュ protection
蠶,かいこ/サン silkworms
漁,あさ∙る/ギョ fishing
妹,いもうと/マイ younger sister
胱,コウ bladder
梓,あずさ/シ catalpa tree
饅,マン bean-jam dumpling
捷,はや∙い/ショウ victory
沓,くつ/トウ shoes
舅,しゅうと/キュウ father-in-law
樟,くす/ショウ camphor
潤,うるお∙う/ジュン wet
還,かえ∙る/カン send back
憑,つ∙く/ヒョウ depend
梃,てこ/チョウ lever
挙,あ∙げる/キョ raise
帶,お∙びる/タイ belt
呑,の∙む/トン drink
恁,イン like this
盤,バン tray
瓣,わきま∙える/ベン petal
娩,ベン bear (children)
彌,いや/ミ extensive
縦,たて/ジュウ vertical
枢,とぼそ/スウ hinge
祕,ひ∙める/ヒ mysterious
曰,いわ∙く/エツ say
楊,かわ/ヨウ willow
激,はげ∙しい/ゲキ violent
掃,は∙く/ソウ sweep
第,ダイ No.
銃,つつ/ジュウ gun
沼,ぬま/ショウ marsh
船,ふね/セン ship
玩,もちあそ∙ぶ/ガン play
凌,しの∙ぐ/リョウ endure
得,え∙る/トク gain
障,さわ∙る/ショウ hinder
全,まった∙く/ゼン whole
賑,にぎ∙わい/シン flourish
嘲,あざけ∙る/チョウ ridicule
恃,たの∙む/ジ depend on
蛙,かえる/ア frog
焉,いずく∙んぞ/エン how
衒,てら∙う/ゲン show off
汝,なんじ/ジョ you
陸,おか/リク land
榮,さか∙える/エイ flourish
這,は∙う/シャ crawl
馭,ギョ driving (horse)
專,もっぱ∙ら/セン specialty
坐,すわ∙る/ザ sit
拾,ひろ∙う/シュウ pick up
急,いそ∙ぐ/キュウ hurry
躙,にじ∙る/リン edge forward
崇,あが∙める/スウ adore
耽,ふ∙ける/タン addicted
沈,しず∙む/チン sink
悍,たけし/カン rough
歴,レキ curriculum
蜀,いもむし/ショク green caterpillar
棺,カン coffin
譽,ほ∙まれ/ヨ fame
族,ゾク tribe
埃,ほこり/アイ dust
負,ま∙ける/フ defeat
哉,かな/サイ how
培,つちか∙う/バイ cultivate
勞,ろう∙する/ロウ thank for
決,き∙める/ケツ decide
達,-たち/タツ accomplished
註,チュウ notes
月,つき/ゲツ month
爲,ため/イ change
袁,エン long kimono
漏,も∙る/ロウ leak
止,と∙まる/シ stop
習,なら∙う/シュウ learn
𠮟, 
睡,ねむ∙る/スイ drowsy
閑,カン leisure
種,たね/シュ species
訴,うった∙える/ソ accusation
両,てる/リョウ both
庵,いおり/アン hermitage
斧,おの/フ ax
將,まさ∙に/ショウ commander
慧,さとい/ケイ wise
廻,まわ∙る/カイ round
衰,おとろ∙える/スイ decline
函,はこ/カン box (archaic)
雑,まじ∙える/ザツ miscellaneous
飄,ひるが∙える/ヒョウ turn over
釣,つ∙る/チョウ angling
与,あた∙える/ヨ bestow
椀,はち/ワン wooden or lacquered bowl
劫,おびや∙かす/コウ threat
緒,お/ショ thong
徒,いたずら/ト on foot
黎,くろ∙い/レイ dark
充,あ∙てる/ジュウ allot
俘,とりこ/フ captive
靖,やす∙んじる/セイ peaceful
満,み∙ちる/マン full
巖,いわ/ガン rock
廠,ショウ workshop
軽,かる∙い/ケイ lightly
裡,うち/リ reverse
幀,テイ making books or scrolls
堺,さかい/カイ world
袖,そで/シュウ sleeve
淵,ふち/エン abyss
尤,もっと∙も/ユウ reasonable
駅,エキ station
喩,たと∙える/ユ metaphor
稔,みの∙る/ネン harvest
茨,いばら/シ briar
仔,こ/シ offspring (animal)
鈍,にぶ∙い/ドン dull
柚,ゆず/ユ citron
椒,はじかみ/ショウ mountain ash
麿,まろ I
築,きず∙く/チク fabricate
鐘,かね/ショウ bell
蔓,はびこ∙る/マン vine
啖,く∙う/タン eat
熾,おこ∙る/シ kindling fire
盥,たらい/カン tub
淑,しと∙やか/シュク graceful
虐,しいた∙げる/ギャク tyrannize
湿,しめ∙る/シツ damp
対,あいて/タイ vis-a-vis
視,シ 
繡,ぬいとり/シュウ embroider
比,くら∙べる/ヒ compare
住,す∙む/ジュウ dwell
箋,ふだ/セン paper
屈,かが∙む/クツ yield
炉,いろり/ロ hearth
敬,うやま∙う/ケイ awe
塞,ふさ∙ぐ/ソク close
拳,こぶし/ケン fist
噌,かまびす∙しい/ソウ boisterous
伸,の∙びる/シン expand
輩,-ばら/ハイ comrade
縛,しば∙る/バク truss
体,からだ/タイ body
糞,くそ/フン shit
棚,たな/ホウ shelf
眠,ねむ∙る/ミン sleep
雍,ふさ∙ぐ/ヨウ softening
饉,う∙える/キン hunger
固,かた∙める/コ harden
升,ます/ショウ measuring box
詰,つ∙める/キツ packed
並,な∙み/ヘイ row
綻,ほころ∙びる/タン be rent
察,サツ guess
燵,タツ foot warmer
囮,おとり/カ decoy
濁,にご∙る/ダク voiced
砲,ホウ cannon
剩,あまつさえ/ジョウ leftovers
驛,エキ station
形,かた/ケイ shape
茹,ゆ∙でる/ジョ boil
檬,モウ lemon tree
悼,いた∙む/トウ lament
供,そな∙える/キョウ submit
傷,きず/ショウ wound
德,おしえ/トク ethics
小,ちい∙さい/ショウ little
焦,こ∙げる/ショウ char
祉,シ welfare
航,コウ navigate
硏,とぐ/ケン grind
傾,かたむ∙く/ケイ lean
後,のち/ゴ behind
析,セキ chop
桓,カン marking post
艇,テイ rowboat
頸,くび/ケイ neck
癇,ひきつけ/カン bitter
養,やしな∙う/ヨウ foster
課,カ chapter
蕾,つぼみ/ライ bud (plants, mushrooms not yet opened)
閲,けみ∙する/エツ review
竈,かまど/ソウ hearth
部,-べ/ブ section
鶏,にわとり/ケイ chicken
舫,もや∙う/ホウ moor
帝,みかど/テイ sovereign
徵,しるし/チョウ summon
高,たか∙い/コウ tall
鹽,しお/エン salt
增,ます/ゾウ increase
侵,おか∙す/シン encroach
控,ひか∙える/コウ withdraw
淳,あつ∙い/ジュン pure
骸,むくろ/ガイ bone
筑,チク an ancient musical instrument
融,と∙ける/ユウ dissolve
弥,いや/ミ all the more
瘡,かさ/ソウ wound
眼,まなこ/ガン eyeball
莊,ほうき/ソウ broom
硯,すずり/ケン inkstone
療,リョウ heal
鰆,さわら/シュン Spanish mackerel
樞,とぼそ/スウ pivot
定,さだ∙める/テイ determine
辞,や∙める/ジ resign
盡,つ∙くす/ジン exhaust
掩,おお∙う/エン cover
業,わざ/ギョウ business
秒,ビョウ second (1/60 minute)
隻,セキ vessels
或,あ∙る/ワク some
噺,はなし talk
送,おく∙る/ソウ escort
撼,うごか∙す/カン move
炬,コ torch
竊,ぬす∙む/セツ steal
寒,さむ∙い/カン cold
屋,や/オク roof
荒,あら∙い/コウ laid waste
軍,いくさ/グン army
桑,くわ/ソウ mulberry
苗,なえ/ビョウ seedling
陷,おちい∙る/カン fall into
銘,メイ inscription
鬻,かゆ/イク sell
夥,おびただ∙しい/カ immense
献,たてまつ∙る/ケン offering
甫,はじ∙めて/ホ for the first time
汰,おご∙る/タ luxury
湯,ゆ/トウ hot water
諺,ことわざ/ゲン proverb
芋,いも/ウ potato
叢,くさむら/ソウ plexus
宇,ウ eaves
沙,すな/サ sand
鎮,しず∙める/チン tranquilize
娯,ゴ recreation
已,や∙む/イ stop
票,ヒョウ ballot
亀,かめ/キ tortoise
痙,つ∙る/ケイ have a cramp
輔,たす∙ける/ホ help
務,つと∙める/ム task
后,きさき/コウ empress
陰,かげ/イン shade
摯,いた∙る/シ gift
瀧,たき/ロウ waterfall
隼,はやぶさ/シュン falcon
梧,あおぎり/ゴ Chinese parasol tree
輿,かご/ヨ palanquin
行,い∙く/コウ going
文,ふみ/ブン sentence
南,みなみ/ナン south
怜,あわ∙れむ/レイ wise
稼,かせ∙ぐ/カ earnings
秦,はた/シン Manchu dynasty
弁,かんむり/ベン valve
燥,はしゃ∙ぐ/ソウ parch
宿,やど/シュク inn
但,ただ∙し/タン however
互,たが∙い/ゴ mutually
纖,セン fine
禱,いの∙る/トウ pray
懷,ふところ/カイ pocket
邇,ちか∙い/ジ approach
贅,いぼ/セイ luxury
鑛,あらがね/コウ ore
加,くわ∙える/カ add
敍,つい∙ず/ジョ express
榴,ざくろ/ル pomegranate
濯,すす∙ぐ/タク laundry
柊,ひいらぎ/シュ holly
箪,はこ/タン bamboo rice basket
兵,つわもの/ヘイ soldier
荼,にがな/タ a weed
噛,か∙む/コウ chew
禍,わざわい/カ calamity
箱,はこ/ソウ box
魯,おろか/ロ foolish
京,みやこ/キョウ capital
儒,ジュ Confucian
係,かか∙る/ケイ person in charge
釉,うわぐすり/ユウ glaze
家,いえ/カ house
十,とお/ジュウ ten
稚,いとけない/チ immature
妨,さまた∙げる/ボウ disturb
什,ジュウ utensil
暖,あたた∙か/ダン warmth
祈,いの∙る/キ pray
抱,だ∙く/ホウ embrace
備,そな∙える/ビ equip
薇,ぜんまい/ラ an edible fern
禁,キン prohibition
艾,もぐさ/カイ moxa
漠,バク vague
喰,く∙う eat
碑,いしぶみ/ヒ tombstone
賞,ほ∙める/ショウ prize
旺,かがや∙き/オウ flourishing
墳,フン tomb
連,つら∙なる/レン take along
雇,やと∙う/コ employ
拗,ねじ∙れる/オウ crooked
碎,くだ∙く/サイ break
日,ひ/ニチ day
默,だ∙まる/ボク silent
再,ふたた∙び/サイ again
爛,ただ∙れる/ラン be sore
鞘,さや/ショウ sheath
渡,わた∙る/ト transit
弦,つる/ゲン bowstring
目,め/モク eye
看,み∙る/カン watch over
句,ク phrase
滝,たき/ロウ waterfall
伯,ハク chief
懐,ふところ/カイ pocket
伐,き∙る/バツ fell
腎,ジン kidney
渇,かわ∙く/カツ thirst
誹,そし∙る/ヒ ridicule
彰,ショウ patent
惑,まど∙う/ワク beguile
肋,あばら/ロク rib
單,ひとえ/タン one
胴,ドウ trunk
鰯,いわし sardine
逵,おおじ/キ broad road
亭,テイ pavilion
抑,おさ∙える/ヨク repress
透,す∙く/トウ transparent
籾,もみ unhulled rice
糸,いと/シ thread
各,おのおの/カク each
済,す∙む/サイ finish
袱,フク cloth wrapper
越,こ∙す/エツ surpass
桔,キツ used in plant names
焼,や∙く/ショウ bake
剥,へ∙ぐ/ハク come off
狽,ケン wolf
蠣,かき/レイ oyster
賛,たす∙ける/サン approve
軫,よこぎ/シン sad
狄,えびす/テキ barbarian
芙,フ lotus
陀,けわ∙しい/タ steep
禹,ウ name of a Chinese emperor
飜,ひるがえ∙す/ハン flip over
椰,やし/ヤ coconut tree
隣,とな∙る/リン neighboring
奮,ふる∙う/フン stirred up
鳳,ホウ male mythical bird
榎,えのき/カ lotus tree
響,ひびく/キョウ 
嵌,は∙める/カン go into
鉛,なまり/エン lead
碩,おお∙きい/セキ large
密,ひそ∙か/ミツ secrecy
臟,はらわた/ゾウ viscera
求,もと∙める/キュウ request
蝶,チョウ butterfly
尻,しり/コウ buttocks
捧,ささ∙げる/ホウ lift up
擴,ひろ∙がる/カク broaden
鷺,さぎ/ロ heron
抛,なげう∙つ/ホウ hurl
芸,う∙える/ゲイ technique
狐,きつね/コ fox
廊,ロウ corridor
資,シ assets
絹,きぬ/ケン silk
唯,ただ/ユイ solely
礼,レイ salute
蹂,ふ∙む/ジュウ step on
柄,がら/ヘイ design
對,あいて/タイ correct
冗,ジョウ superfluous
俯,ふ∙す/フ bend down
腕,うで/ワン arm
爐,いろり/ロ fireplace
驕,おご∙る/キョウ pride
勤,つとまる/キン 
撤,テツ remove
筒,つつ/トウ cylinder
梨,なし/リ pear tree
圍,かこ∙む/イ enclose
被,こうむ∙る/ヒ incur
庖,くりや/ホウ kitchen
聽,き∙く/チョウ careful enquiry
叩,たた∙く/コウ strike
匈,キョウ turmoil
庶,ショ commoner
囃,はや∙す/サツ play (music)
病,や∙む/ビョウ ill
謁,エツ 
脇,わき/キョウ armpit
鋭,するど∙い/エイ pointed
未,いま∙だ/ミ un-
慣,な∙れる/カン accustomed
洸,コウ sparkling water
尊,たっと∙い/ソン revered
兎,うさぎ/ト rabbit
罐,かま/カン steam boiler (left side only)
床,とこ/ショウ bed
斑,ふ/ハン spot
好,この∙む/コウ fond
叛,そむ∙く/ハン disobey
足,あし/ソク leg
談,ダン discuss
毀,こぼ∙つ/キ break
鄭,テイ an ancient Chinese province
案,つくえ/アン plan
摑,つか∙む/カク box one's ears
杓,ひしゃく/シャク ladle
湘,ショウ name of Chinese river
澱,おり/デン sediment
平,たい∙ら/ヘイ even
喘,あえ∙ぐ/ゼン pant
奬,すす∙める/ショウ prize
桃,もも/トウ peach
極,きわ∙める/キョク poles
猜,そね∙む/サイ envy
穫,カク harvest
蓬,よもぎ/ホウ sagebrush
都,みやこ/ト metropolis
謝,あやま∙る/シャ apologize
踏,ふ∙む/トウ step
悔,く∙いる/カイ repent
揶,からか∙う/ヤ tease
瀬,せ/ライ rapids
汎,ただよ∙う/ハン pan-
仰,あお∙ぐ/ギョウ face-up
蔑,ないがしろ/ベツ ignore
唐,から/トウ T'ang
信,シン faith
局,つぼね/キョク bureau
結,むす∙ぶ/ケツ tie
静,しず-/セイ quiet
譚,はなし/タン talk
曼,なが∙い/マン wide
珂,カ jewel
俟,ま∙つ/シ wait
黒,くろ/コク black
涅,そ∙める/ネツ black soil
滑,すべ∙る/カツ slippery
確,たし∙か/カク assurance
犠,いけにえ/ギ sacrifice
恒,つね/コウ constancy
拶,せま∙る/サツ be imminent
飛,と∙ぶ/ヒ fly
裂,さ∙く/レツ split
柳,やなぎ/リュウ willow
会,あ∙う/カイ meeting
懸,か∙ける/ケン state of suspension
卿,きみ/ケイ you
帥,スイ commander
喜,よろこ∙ぶ/キ rejoice
卑,いやしい/ヒ 
漲,みなぎ∙る/チョウ overflow
灯,ひ/トウ lamp
雁,かり/ガン wild goose
青,あお/セイ blue
截,き∙る/セツ cut off
穣,わら/ジョウ good crops
間,あいだ/カン interval
益,ま∙す/エキ benefit
驅,か∙ける/ク spur a horse on
咬,か∙む/コウ bite
葉,は/ヨウ leaf
顫,ふる∙える/セン shudder
邪,よこし∙ま/ジャ wicked
溺,いばり/デキ drown
徨,さまよ∙う/コウ wandering
典,テン code
富,と∙む/フ wealth
偃,ふ∙せる/エン dam
戾,もどす/レイ perverse
昊,そら/コウ sky
協,キョウ co-
巧,たく∙み/コウ adroit
担,かつ∙ぐ/タン shouldering
椅,イ chair
訂,テイ revise
訣,わかれ/ケツ separation
弼,たす∙ける/ヒツ help
嫌,きら∙う/ケン dislike
現,あらわ∙れる/ゲン present
妙,たえ/ミョウ exquisite
裕,ユウ abundant
塑,でく/ソ model
咥,か∙む/テツ laugh
庚,かのえ/コウ 7th
裃,かみしも old ceremonial garb
健,すこ∙やか/ケン healthy
姻,イン matrimony
恕,ゆる∙す/ジョ excuse
読,よ∙む/ドク read
晩,バン nightfall
助,たす∙ける/ジョ help
軒,のき/ケン flats
貌,かたち/ボウ form
糾,ただ∙す/キュウ twist
蘇,よみがえ∙る/ソ be resuscitated
闇,やみ/アン get dark
批,ヒ criticism
楽,たの∙しい/ガク music
知,し∙る/チ know
詞,シ part of speech
凶,キョウ villain
轄,くさび/カツ control
兒,こ/ジ child
報,むく∙いる/ホウ report
櫂,かい/トウ oar
薬,くすり/ヤク medicine
聚,あつ∙まる/シュウ assemble
循,ジュン sequential
琴,こと/キン harp
鰤,ぶり/シ yellowtail
至,いた∙る/シ climax
丑,うし/チュウ sign of the ox or cow
坂,さか/ハン slope
碇,いかり/テイ anchor
歩,ある∙く/ホ walk
揉,も∙む/ジュウ rub
山,やま/サン mountain
揄,ヨウ pull
拙,つたな∙い/セツ bungling
水,みず/スイ water
麾,さしまね∙く/キ beckon to
勾,かぎ/コウ be bent
損,そこ∙なう/ソン damage
茉,マツ jasmine
策,サク scheme
嘉,よみ∙する/カ applaud
鍾,あつ∙める/ショウ spindle
篤,あつ∙い/トク fervent
虔,つつし∙む/ケン respect
製,セイ made in...
辛,から∙い/シン spicy
婦,よめ/フ lady
息,いき/ソク breath
論,ロン argument
憫,あわれ∙む/ビン anxiety
育,そだ∙つ/イク bring up
雄,お-/ユウ masculine
站,タン stop
炎,ほのお/エン inflammation
藥,くすり/ヤク medicine
拉,らっ∙する/ラツ Latin
繫,つな∙ぐ/ケイ attach
泥,どろ/デイ mud
烏,からす/ウ crow
偏,かたよ∙る/ヘン partial
卽,つく/ソク promptly
戒,いまし∙める/カイ commandment
賴,たのむ/ライ rely
彙,はりねずみ/イ same kind
斥,しりぞ∙ける/セキ reject
昨,サク yesterday
爽,あき∙らか/ソウ refreshing
女,おんな/ジョ woman
伜,せがれ/サイ son
盟,メイ alliance
肪,ボウ obese
耳,みみ/ジ ear
澹,あわ∙い/タン calm
揚,あ∙げる/ヨウ raise
峯,みね/ホウ peak
槽,ふね/ソウ vat
姥,うば/ボ old woman
痒,かゆ∙がる/ヨウ itchy
繕,つくろ∙う/ゼン darning
祥,さいわい/ショウ good luck
燈,ひ/トウ lamp
悄,うれ∙える/ショウ anxiety
壁,かべ/ヘキ wall
欄,てすり/ラン column
士,さむらい/シ gentleman
件,くだん/ケン affair
握,にぎ∙る/アク grip
箇,カ counters for things
屹,そばだ∙つ/キツ towering mountains
繼,つ∙ぐ/ケイ succeed
罷,まか∙り-/ヒ quit
衣,ころも/イ garment
尚,なお/ショウ esteem
聴,き∙く/チョウ listen
舌,した/ゼツ tongue
藩,ハン clan
抉,えぐ∙る/ケツ gouge
託,かこつ∙ける/タク consign
歐,うた∙う/オウ Europe
了,リョウ complete
廊, corridor
笛,ふえ/テキ flute
處,ところ/ショ place
貳,ふた∙つ/ニ two
祢,ネ ancestral shrine
欒,おうち/ラン chinaberry tree
鮨,すし/シ sushi
変,か∙わる/ヘン unusual
翔,かけ∙る/ショウ soar
魄,たましい/ハク soul
岳,たけ/ガク point
去,さ∙る/キョ gone
誇,ほこ∙る/コ boast
増,ま∙す/ゾウ increase
佩,は∙く/ハイ wear
猟,かり/リョウ game-hunting
憔,やつ∙れる/ショウ get thin
免,まぬか∙れる/メン excuse
編,あ∙む/ヘン compilation
躾,しつ∙ける training
硝,ショウ nitrate
螢,ほたる/ケイ firefly
鑽,き∙る/サン make fire by rubbing sticks
菩,ボ kind of grass
誰,だれ/スイ who
三,み/サン three
乳,ちち/ニュウ milk
預,あず∙ける/ヨ deposit
長,なが∙い/チョウ long
裟,サ Buddhist surplice
欲,ほっ∙する/ヨク longing
乙,おと-/オツ the latter
雷,かみなり/ライ thunder
五,いつ/ゴ five
汪,オウ flowing full
乍,-なが∙ら/サ though
鮭,さけ/カイ salmon
扇,おうぎ/セン fan
麓,ふもと/ロク foot of a mountain
届,とど∙ける/カイ deliver
猶,なお/ユウ furthermore
辨,わきま∙える/ベン discrimination
巳,み/シ sign of the snake or serpent
絵,カイ picture
謁,エツ audience
交,まじ∙わる/コウ mingle
瓦,かわら/ガ tile
妻,つま/サイ wife
懲,こ∙りる/チョウ penal
油,あぶら/ユ oil
遁,のが∙れる/トン flee
譯,わけ/ヤク translate
類, class
宛,あ∙てる/エン address
扁,ひらたい/ヘン level
儘,まま/ジン as it is
甘,あま∙い/カン sweet
兄,あに/ケイ elder brother
狭,せま∙い/キョウ cramped
歪,いが∙む/ワイ warp
吼,ほ∙える/コウ bark
玖,キュウ beautiful black jewel
園,その/エン park
郡,こおり/グン county
樫,かし evergreen oak
走,はし∙る/ソウ run
洩,も∙らす/エイ leak
失,うしな∙う/シツ lose
賠,バイ compensation
量,はか∙る/リョウ quantity
徹,テツ penetrate
寬,ひろい/カン broad
姪,めい/テツ niece
傅,かしず∙く/フ tutor
禮,レイ social custom
梱,こう∙る/コン pack
會,あ∙う/カイ meet
桂,かつら/ケイ Japanese Judas-tree
労,ろう∙する/ロウ labor
榜,かじ/ボウ rudder
呈,テイ display
雅,みや∙び/ガ gracious
西,にし/セイ west
垂,た∙れる/スイ droop
蛾,ひむし/ギ moth
畔,あぜ/ハン paddy ridge
街,まち/ガイ boulevard
膀,ボウ bladder
盆,ボン basin
崖,がけ/ガイ cliff
篝,かがりび/コウ campfire
季,キ seasons
襟,えり/キン collar
醉,よ∙う/スイ get drunk
飾,かざ∙る/ショク decorate
涉,わたる/ショウ ford stream
牢,かた∙い/ロウ prison
茄,カ eggplant
款,カン goodwill
判,わか∙る/ハン judgement
漆,うるし/シツ lacquer
偉,えら∙い/イ admirable
屑,くず/セツ rubbish
奨,すす∙める/ショウ exhort
賽,サイ dice
仲,なか/チュウ go-between
磁,ジ magnet
覽,み∙る/ラン look at
斐,ヒ beautiful
繩,なわ/ジョウ rope
洛,ラク Kyoto
靈,たま/レイ soul
廢,すた∙れる/ハイ abrogate
揆,はかりごと/キ category
蜻,セイ dragonfly
仇,あだ/キュウ foe
吞,のむ/ドン swallow
漣,さざなみ/レン ripples
白,しろ/ハク white
角,かど/カク angle
補,おぎな∙う/ホ supplement
偶,たま/グウ accidentally
糺,ただ∙す/キュウ ask
隊,タイ regiment
参,まい∙る/サン nonplussed
粮,かて/リョウ food
逗,とど∙まる/トウ stop
罪,つみ/ザイ guilt
話,はな∙す/ワ tale
疲,つか∙れる/ヒ exhausted
矢,や/シ dart
鰓,えら/サイ gills
肝,きも/カン liver
獅,しし/シ lion
提,さ∙げる/テイ propose
措,お∙く/ソ set aside
品,しな/ヒン goods
頒,わか∙つ/ハン distribute
續,つづ∙く/ゾク continue
程,ほど/テイ extent
任,まか∙せる/ニン responsibility
獏,バク tapir
喚,わめ∙く/カン yell
州,す/シュウ state
闊,ひろ∙い/カツ wide
炭,すみ/タン charcoal
痛,いた∙い/ツウ pain
腔,コウ body cavity
本,もと/ホン book
彫,ほ∙る/チョウ carve
蝋,みつろう/ロウ wax
駱,かわらげ/ラク white horse
切,き∙る/セツ cut
非,あら∙ず/ヒ un-
騷,さわ∙ぐ/ソウ harass
飲,の∙む/イン drink
諫,いさ∙める/カン admonish
碁,ゴ Go
蕩,とろ∙かす/トウ melt
猿,さる/エン monkey
笈,キュウ backpack bookcase
煮,にえる/シャ 
乞,こ∙う/コツ beg
鰈,かれい/チョウ sole
國,くに/コク country
葡,ブ wild grape
弔,とむら∙う/チョウ condolences
消,き∙える/ショウ extinguish
斯,か/シ this
単,ひとえ/タン simple
諸,もろ/ショ various
憧,あこが∙れる/ショウ yearn after
脆,もろ∙い/ゼイ brittle
美,うつく∙しい/ビ beauty
簡,えら∙ぶ/カン simplicity
恰,あたか∙も/コウ just as
駆,か∙ける/ク drive
垣,かき/エン hedge
駝,せむし/ダ hunchback
哺,はぐく∙む/ホ nurse
筍,たけのこ/ジュン bamboo shoot
頷,うなず∙く/ガン nod approval
奘,さかん/ジョウ large
只,ただ/シ only
添,そ∙える/テン annexed
紺,コン dark blue
苫,とま/セン rush matting
問,と∙う/モン question
洞,ほら/ドウ den
勵,はげ∙む/レイ strive
願,ねが∙う/ガン petition
佑,たす∙ける/ユウ help
凝,こ∙る/ギョウ congeal
鵬,おおとり/ホウ phoenix
界,カイ world
吸,す∙う/キュウ suck
手,て/シュ hand
咆,ほ∙える/ホウ bark
毯,タン wool rug
震,ふる∙う/シン quake
餓,う∙える/ガ starve
蕉,ショウ banana
居,い∙る/キョ reside
臭,くさい/シュウ 
蜂,はち/ホウ bee
遜,したが∙う/ソン humble
痔,しもがさ/ヂ piles
煤,すす/バイ soot
脈,すじ/ミャク vein
