匂,にお∙う fragrant
遵,ジュン abide by
喝,カツ hoarse
屬,さかん/ゾク genus
云,い∙う/ウン say
速,はや∙い/ソク quick
倶,とも∙に/グ both
砂,すな/サ sand
腱,ケン tendon
鞠,まり/キク ball
敷,し∙く/フ spread
悌,テイ serving our elders
紗,うすぎぬ/サ gauze
杜,もり/ト woods
劣,おと∙る/レツ inferiority
慈,いつく∙しむ/ジ mercy
艫,とも/ロ bow
砕,くだ∙く/サイ smash
汲,く∙む/キュウ draw (water)
椿,つばき/チン camellia
苑,その/エン garden
塙,はなわ/カク projecting tableland or mountain
勒,くつわ/ロク halter and bit
贈,おくる/ソウ 
戮,ころ∙す/リク kill
擁,ヨウ hug
嗚,ああ/ウ weep
腫,は∙れる/シュ tumor
顎,あご/ガク jaw
通,とお∙る/ツウ traffic
顰,ひそ∙める/ヒン scowl
堤,つつみ/テイ dike
里,さと/リ ri
圈,かこ∙い/ケン sphere
圧,お∙す/アツ pressure
詠,よ∙む/エイ recitation
瀟,ショウ pure
夜,よ/ヤ night
曖,くら∙い/アイ dark
鞭,むち/ベン whip
遷,うつ∙る/セン transition
均,なら∙す/キン level
舎,やど∙る/シャ cottage
同,おな∙じ/ドウ same
遺,のこ∙す/イ bequeath
奢,おご∙る/シャ extravagance
輪,わ/リン wheel
鉦,かね/セイ bell
郷,さと/キョウ home town
衞,まも∙る/エイ defense
帯,お∙びる/タイ sash
轍,わだちい/テツ rut
命,いのち/メイ fate
髯,ひげ/ゼン beard
否,いな/ヒ negate
遥,はる∙か/ヨウ far off
鑿,のみ/サク chisel
掠,かす∙める/リャク pillage
辯,わきま∙える/ベン speech
曉,あかつき/キョウ dawn
驗,あかし/ケン verification
雨,あめ/ウ rain
蘭,ラン orchid
襄,はら∙う/ジョウ rise
恭,うやうや∙しい/キョウ respect
笹,ささ bamboo grass
要,い∙る/ヨウ need
巽,たつみ/ソン southeast
召,め∙す/ショウ seduce
勤,つと∙める/キン diligence
點,つ∙ける/テン point
祀,まつ∙る/シ enshrine
衆,おお∙い/シュウ masses
斟,く∙む/シン dip water
夕,ゆう/セキ evening
湛,しず∙む/タン fill
包,つつ∙む/ホウ wrap
柾,まさ straight grain
儡,ライ defeat
表,おもて/ヒョウ surface
杢,もく woodworker
藝,う∙える/ゲイ art
毆,なぐ∙る/オウ beat
叔,シュク uncle
籍,セキ enroll
菱,ひし/リョウ diamond (shape)
溢,こぼ∙れる/イツ overflow
童,わらべ/ドウ juvenile
僕,しもべ/ボク me
胆,きも/タン gall bladder
歸,かえ∙る/キ homecoming
斤,キン axe
砥,と/シ whetstone
須,すべから∙く/ス ought
弘,ひろ∙い/コウ vast
弟,おとうと/テイ younger brother
到,いた∙る/トウ arrival
鋒,きっさき/ホウ dagger
奧,おく∙まる/オウ heart
倫,リン ethics
假,かり/カ temporary
禄,さいわ∙い/ロク fief
讓,ゆず∙る/ジョウ allow
嘩,かまびす∙しい/カ noisy
胡,なんぞ/ウ barbarian
閃,ひらめ∙く/セン flash
艘,ふね/ショウ counter for small boats
祥,さいわ∙い/ショウ auspicious
屯,たむろ/トン barracks
